,Title,Location,Price,Details,city_Abbottabad,city_Abdul_Hakim,city_Ahmedpur_East,city_Islamabad,city_Karachi,city_Lahore,city_Rawalpindi
119,Get In Touch Now To Buy A House In Officers Colony,"Officers Colony, Abbottabad",0.06765676567656766,Whatever kind of House you are look,1,0,0,0,0,0,0
120,10 Marla House In Central Habibullah Colony For sale,"Habibullah Colony, Abbottabad",0.0,House comes with different bedroom,1,0,0,0,0,0,0
121,Well-constructed House Available For Sale In Supply,"Supply, Abbottabad",0.0,Know that this House right here is,1,0,0,0,0,0,0
122,Ready To Buy A House In Bilal Town Bilal Town,"Bilal Town, Abbottabad",0.0,"Of course, if you're looking for Ho",1,0,0,0,0,0,0
123,Ready To Buy A House 8 Marla In Jhangi Syedan,"Jhangi Syedan, Abbottabad",0.0,A House that is located in the prim,1,0,0,0,0,0,0
124,Double Storey House Available For Sale,"Supply, Abbottabad",0.0,Double Storey House Available For s,1,0,0,0,0,0,0
125,A Good Option For Sale Is The House Available In Others In Alipur,"Abdul Hakim, Punjab",0.0,A high-end property for sale doesn',0,1,0,0,0,0,0
126,Your Dream Prime Location 15 Marla House Is Available In Abdul Hakim,"Abdul Hakim, Punjab",0.0,This House available for sale is pe,0,1,0,0,0,0,0
127,5 Marla House Is Available In location,"Abdul Hakim, Punjab",0.024752475247524754,Want the perfect space and a good b,0,1,0,0,0,0,0
128,gharrr,"Abdul Hakim, Punjab",0.0,gharrrr,0,1,0,0,0,0,0
129,Great Opportunity For You To Have The Property Of Your Choice,"Abdul Hakim, Punjab",0.06188118811881189,"Block BB
Garage
Good Location. 
Rea",0,1,0,0,0,0,0
130,5 Marla House Is Available For Sale In location,"Abdul Hakim, Punjab",0.0,This House in Abdul Hakim is no les,0,1,0,0,0,0,0
131,1 Kanal House For Sale In Abdul Hakim,"Abdul Hakim, Punjab",0.0,The House has a state of the art ar,0,1,0,0,0,0,0
132,6 Marla ka acha plot,"Abdul Hakim, Punjab",0.0,If you're looking for 6 Marla prope,0,1,0,0,0,0,0
133,test 1.04p,"Abdul Hakim, Punjab",0.00028052805280528054,erwe,0,1,0,0,0,0,0
134,test Junaid 12,"Abdul Hakim, Punjab",1.0,"large number of images test, more t",0,1,0,0,0,0,0
135,Test Junaid,"Abdul Hakim, Punjab",0.019240924092409243,"This is test listing, required no",0,1,0,0,0,0,0
136,Test area unit nine,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
137,Test area unit nine,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
138,Test area unit eight,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
139,Test area unit seven,"Abdul Hakim, Punjab",0.020627062706270627,This is area unit,0,1,0,0,0,0,0
140,Test area unit six,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
141,Test area unit five,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
142,Test area unit five,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
143,Test area unit four,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
144,Test area unit three,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
145,Test area unit 2,"Abdul Hakim, Punjab",9.075907590759076e-05,This is area unit,0,1,0,0,0,0,0
146,Test area unit one,"Abdul Hakim, Punjab",0.0,This is area unit,0,1,0,0,0,0,0
147,5 Marla House For Sale In Others,"Others, Alipur",0.00020627062706270627,This listing from Others is perfect,0,0,1,0,0,0,0
148,home,"Rajput Colony, Alipur",0.0006600660066006601,Ne,0,0,1,0,0,0,0
149,House For Sale,"Alipur, Punjab",0.0,"House For Sale 
Best option for liv",0,0,1,0,0,0,0
150,House For Sale In Alipur Near Rashid Minhas Hss Alipur,"Others, Alipur",0.0,Take a decision today to own your H,0,0,1,0,0,0,0
151,urgent sale 4 marla house,"Alipur - Uch Sharif Road, Alipur",0.00034653465346534657,4 marla house urgent sale The Best,0,0,1,0,0,0,0
152,House For Sale In Alipur - Uch Sharif Road Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",0.0003795379537953796,Here's the tactfully chosen House f,0,0,1,0,0,0,0
153,House For Sale Situated In Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",0.00031353135313531356,Irresistible House for sale with un,0,0,1,0,0,0,0
154,10 Marla Constructed House In Uch Shareef City,"Alipur - Uch Sharif Road, Alipur",0.00033003300330033004,"6 Rooms. 
1 washroom. 
1 Kitchen.",0,0,1,0,0,0,0
155,Ideally Located House For Sale In Alipur - Uch Sharif Road Available,"Alipur - Uch Sharif Road, Alipur",0.0005363036303630363,A 6-marla Furnished House Having 3,0,0,1,0,0,0,0
156,5 Marla Double Storey House For Sale,"Sabtain Town, Alipur",0.00034653465346534657,5 Marla Double Story House For Sale,0,0,1,0,0,0,0
157,House For Sale In Gujjar Chowk Alipur,"Others, Alipur",0.0007013201320132013,10 Marla House For Sell Double Stor,0,0,1,0,0,0,0
158,1350  Square Feet House For Sale In Alipur - Uch Sharif Road,"Alipur - Uch Sharif Road, Alipur",0.0005363036303630363,A 6-Marla Furnished House is for Sa,0,0,1,0,0,0,0
159,Selling House Ground Plus One Furnished Argent Sale Contact,"Alipur - Uch Sharif Road, Alipur",0.00031353135313531356,House For Sale Ground Plus One 10 M,0,0,1,0,0,0,0
160,House For Sale In Alipur Nearby To Kalma Chowk And Schools,"Others, Alipur",0.0,"Newly built 2017 house for sale. 
S",0,0,1,0,0,0,0
161,6 Marla House For Sale,"Alipur - Uch Sharif Road, Alipur",0.0,"Luxury house for sale
3 bedroom, 3",0,0,1,0,0,0,0
162,House For Sale With 4 Streets Around In Main Market  Shah Faisal Chowk Alipur,"Others, Alipur",0.0,Golden Place With 4 Streets Around,0,0,1,0,0,0,0
163,5 Marla Corner House For Sale,"Rajput Colony, Alipur",0.0,"Good Location. 
Reasonable Price.",0,0,1,0,0,0,0
164,5 Marla House For Sale,"Rajput Colony, Alipur",0.00041254125412541255,"House for sale
Corner Location 


N",0,0,1,0,0,0,0
165,10 marla,"Rajput Colony, Alipur",0.0,wants to,0,0,1,0,0,0,0
166,5 Marla Well Furnished House Is Available For Sale In Rajput Colony Alipur,"Rajput Colony, Alipur",0.0007425742574257426,Purchase your property today to sec,0,0,1,0,0,0,0
167,House Is Available For Sale,"Rajput Colony, Alipur",0.0007425742574257426,"New House Is Available For Sale  
A",0,0,1,0,0,0,0
